Date,Close,Volume,Name
13-06-2012,214.729996,2325200,Technology-Amazon
14-06-2012,214.449997,3060900,Technology-Amazon
15-06-2012,218.350006,3785200,Technology-Amazon
18-06-2012,222.660004,3369600,Technology-Amazon
19-06-2012,224.029999,2716600,Technology-Amazon
20-06-2012,223.020004,2444400,Technology-Amazon
21-06-2012,220.570007,2843000,Technology-Amazon
22-06-2012,222.160004,2187500,Technology-Amazon
25-06-2012,220.070007,2382300,Technology-Amazon
26-06-2012,225.610001,3754100,Technology-Amazon
27-06-2012,225.619995,2799200,Technology-Amazon
28-06-2012,221.309998,2994800,Technology-Amazon
29-06-2012,228.350006,3614400,Technology-Amazon
02-07-2012,229.320007,2330700,Technology-Amazon
03-07-2012,229.529999,1331700,Technology-Amazon
05-07-2012,227.059998,2682300,Technology-Amazon
06-07-2012,225.050003,3203200,Technology-Amazon
09-07-2012,225.050003,1922000,Technology-Amazon
10-07-2012,219.5,2982100,Technology-Amazon
11-07-2012,218.369995,2734700,Technology-Amazon
12-07-2012,215.360001,2616200,Technology-Amazon
13-07-2012,218.389999,2221900,Technology-Amazon
16-07-2012,216.009995,2004200,Technology-Amazon
17-07-2012,216.929993,1987000,Technology-Amazon
18-07-2012,217.470001,2093000,Technology-Amazon
19-07-2012,226.169998,5449400,Technology-Amazon
20-07-2012,228.289993,4170000,Technology-Amazon
23-07-2012,226.009995,5515100,Technology-Amazon
24-07-2012,223.039993,5008700,Technology-Amazon
25-07-2012,217.050003,3646700,Technology-Amazon
26-07-2012,220.009995,6937400,Technology-Amazon
27-07-2012,237.320007,11313900,Technology-Amazon
30-07-2012,236.089996,3736400,Technology-Amazon
31-07-2012,233.300003,3453600,Technology-Amazon
01-08-2012,232.089996,2543800,Technology-Amazon
02-08-2012,230.809998,3048100,Technology-Amazon
03-08-2012,234.970001,2825300,Technology-Amazon
06-08-2012,233.990005,1843700,Technology-Amazon
07-08-2012,236.559998,2058300,Technology-Amazon
08-08-2012,234.380005,1534300,Technology-Amazon
09-08-2012,234.059998,1548100,Technology-Amazon
10-08-2012,232.75,1852500,Technology-Amazon
13-08-2012,232.440002,1997300,Technology-Amazon
14-08-2012,233.190002,2751000,Technology-Amazon
15-08-2012,237.419998,3264700,Technology-Amazon
16-08-2012,241.550003,4312100,Technology-Amazon
17-08-2012,241.169998,3085800,Technology-Amazon
20-08-2012,240.350006,1889900,Technology-Amazon
21-08-2012,239.449997,2571500,Technology-Amazon
22-08-2012,243.100006,2473700,Technology-Amazon
23-08-2012,241.199997,2453900,Technology-Amazon
24-08-2012,245.740005,3698800,Technology-Amazon
27-08-2012,243.919998,2929700,Technology-Amazon
28-08-2012,246.110001,2742300,Technology-Amazon
29-08-2012,247.119995,1772600,Technology-Amazon
30-08-2012,246.220001,3647500,Technology-Amazon
31-08-2012,248.270004,3347500,Technology-Amazon
04-09-2012,247.880005,3950800,Technology-Amazon
05-09-2012,246.220001,2652600,Technology-Amazon
06-09-2012,251.380005,5361400,Technology-Amazon
07-09-2012,259.140015,5029500,Technology-Amazon
10-09-2012,257.089996,2567200,Technology-Amazon
11-09-2012,255.669998,2524800,Technology-Amazon
12-09-2012,255.630005,2273200,Technology-Amazon
13-09-2012,260.23999,3525600,Technology-Amazon
14-09-2012,261.269989,3666200,Technology-Amazon
17-09-2012,258,2306300,Technology-Amazon
18-09-2012,258.75,2215000,Technology-Amazon
19-09-2012,261.679993,2636800,Technology-Amazon
20-09-2012,260.809998,2913600,Technology-Amazon
21-09-2012,257.470001,6059300,Technology-Amazon
24-09-2012,254.800003,2707900,Technology-Amazon
25-09-2012,252.460007,4405800,Technology-Amazon
26-09-2012,249.669998,2920500,Technology-Amazon
27-09-2012,256.589996,3397400,Technology-Amazon
28-09-2012,254.320007,2456600,Technology-Amazon
01-10-2012,252.009995,2581200,Technology-Amazon
02-10-2012,250.600006,2195800,Technology-Amazon
03-10-2012,255.919998,2745600,Technology-Amazon
04-10-2012,260.470001,2700400,Technology-Amazon
05-10-2012,258.51001,2806500,Technology-Amazon
08-10-2012,259.059998,1762300,Technology-Amazon
09-10-2012,250.960007,3494800,Technology-Amazon
10-10-2012,244.990005,3948300,Technology-Amazon
11-10-2012,244.220001,3447300,Technology-Amazon
12-10-2012,242.360001,2203200,Technology-Amazon
15-10-2012,244.179993,2959800,Technology-Amazon
16-10-2012,243.940002,2204100,Technology-Amazon
17-10-2012,247.490005,3302700,Technology-Amazon
18-10-2012,244.850006,5305300,Technology-Amazon
19-10-2012,240,4395300,Technology-Amazon
22-10-2012,233.779999,4500000,Technology-Amazon
23-10-2012,234.309998,4430800,Technology-Amazon
24-10-2012,228.490005,3678700,Technology-Amazon
25-10-2012,222.919998,6741300,Technology-Amazon
26-10-2012,238.240005,11367500,Technology-Amazon
31-10-2012,232.889999,4797600,Technology-Amazon
01-11-2012,232.139999,3905100,Technology-Amazon
02-11-2012,232.419998,3374700,Technology-Amazon
05-11-2012,234.330002,1846100,Technology-Amazon
06-11-2012,237.559998,2661300,Technology-Amazon
07-11-2012,232.059998,3624200,Technology-Amazon
08-11-2012,227.350006,2982400,Technology-Amazon
09-11-2012,226.309998,3092500,Technology-Amazon
12-11-2012,226.470001,2128800,Technology-Amazon
13-11-2012,226.600006,2629800,Technology-Amazon
14-11-2012,222.949997,3034100,Technology-Amazon
15-11-2012,220.600006,3404700,Technology-Amazon
16-11-2012,225.229996,4352800,Technology-Amazon
19-11-2012,229.710007,3591200,Technology-Amazon
20-11-2012,233.779999,2771700,Technology-Amazon
